timestamp,temperature_2m,relative_humidity_2m,surface_pressure,cloud_cover,wind_speed_10m,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,direct_radiation,latitude,longitude,plant_id,solar_zenith,solar_azimuth,poa_global,cell_temperature,actual_generation_mw,solar_elevation,is_daytime,clearsky_ghi,clearness_index,hour,hour_sin,hour_cos,month,month_sin,month_cos,day_of_year,day_of_year_sin,day_of_year_cos,cloud_cover_rolling_3h,temp_rolling_3h
2023-01-01 00:00:00,11.4,67,1000.0,25,7.2,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park,168.81,291.08,0.0,11.4,0.0,0.0,0,0.0,0.0,0,0.0,1.0,1,0.5,0.866,1,0.0172,0.9999,25.0,11.4
2023-01-01 01:00:00,10.3,71,999.7,5,9.4,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park,174.44,37.06,0.0,10.3,0.0,0.0,0,0.0,0.0,1,0.2588,0.9659,1,0.5,0.866,1,0.0172,0.9999,15.0,10.85
2023-01-01 02:00:00,9.7,74,999.1,0,10.5,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park,162.59,79.22,0.0,9.7,0.0,0.0,0,0.0,0.0,2,0.5,0.866,1,0.5,0.866,1,0.0172,0.9999,10.0,10.47
2023-01-01 03:00:00,8.9,78,998.4,16,10.1,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park,149.36,89.2,0.0,8.9,0.0,0.0,0,0.0,0.0,3,0.7071,0.7071,1,0.5,0.866,1,0.0172,0.9999,7.0,9.63
2023-01-01 04:00:00,8.5,81,998.3,13,10.1,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park,136.08,95.45,0.0,8.5,0.0,0.0,0,0.0,0.0,4,0.866,0.5,1,0.5,0.866,1,0.0172,0.9999,9.67,9.03
2023-01-01 05:00:00,8.0,82,998.7,0,10.4,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park,122.93,100.85,0.0,8.0,0.0,0.0,0,0.0,0.0,5,0.9659,0.2588,1,0.5,0.866,1,0.0172,0.9999,9.67,8.47
2023-01-01 06:00:00,7.3,85,999.2,0,10.4,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park,110.0,106.25,0.0,7.3,0.0,0.0,0,0.0,0.0,6,1.0,0.0,1,0.5,0.866,1,0.0172,0.9999,4.33,7.93
2023-01-01 07:00:00,7.0,86,999.9,0,10.4,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park,97.45,112.14,0.0,7.0,0.0,0.0,0,0.0,0.0,7,0.9659,-0.2588,1,0.5,0.866,1,0.0172,0.9999,0.0,7.43
2023-01-01 08:00:00,8.3,79,1000.5,0,9.4,42.0,126.1,28.0,14.0,27.5398,71.9153,Bhadla_Solar_Park,85.27,118.96,68.38,10.1,7.61,4.73,1,26.86,1.2,8,0.866,-0.5,1,0.5,0.866,1,0.0172,0.9999,0.0,7.53
2023-01-01 09:00:00,12.3,61,1001.6,0,7.2,197.0,395.8,90.0,107.0,27.5398,71.9153,Bhadla_Solar_Park,74.24,127.22,304.56,20.67,32.61,15.76,1,214.7,0.918,9,0.7071,-0.7071,1,0.5,0.866,1,0.0172,0.9999,0.0,9.2
2023-01-01 10:00:00,16.8,44,1002.1,3,9.6,370.0,567.1,126.0,244.0,27.5398,71.9153,Bhadla_Solar_Park,64.42,137.57,536.48,30.9,55.25,25.58,1,402.29,0.92,10,0.5,-0.866,1,0.5,0.866,1,0.0172,0.9999,1.0,12.47
2023-01-01 11:00:00,19.4,35,1001.6,2,12.0,509.0,661.7,146.0,363.0,27.5398,71.9153,Bhadla_Solar_Park,56.6,150.65,713.69,37.35,71.66,33.4,1,545.17,0.934,11,0.2588,-0.9659,1,0.5,0.866,1,0.0172,0.9999,1.67,16.17
2023-01-01 12:00:00,20.8,31,1000.6,0,10.8,593.0,706.3,157.0,436.0,27.5398,71.9153,Bhadla_Solar_Park,51.73,166.59,818.23,41.84,80.69,38.27,1,628.94,0.943,12,0.0,-1.0,1,0.5,0.866,1,0.0172,0.9999,1.67,19.0
2023-01-01 13:00:00,21.7,27,999.5,0,9.4,612.0,720.4,157.0,455.0,27.5398,71.9153,Bhadla_Solar_Park,50.65,184.26,842.92,43.94,82.41,39.35,1,646.69,0.946,13,-0.2588,-0.9659,1,0.5,0.866,1,0.0172,0.9999,0.67,20.63
2023-01-01 14:00:00,22.3,25,998.6,0,7.1,562.0,697.6,150.0,412.0,27.5398,71.9153,Bhadla_Solar_Park,53.62,201.35,781.71,43.82,76.46,36.38,1,597.01,0.941,14,-0.5,-0.866,1,0.5,0.866,1,0.0172,0.9999,0.0,21.6
2023-01-01 15:00:00,22.5,23,998.2,0,6.3,449.0,631.7,135.0,314.0,27.5398,71.9153,Bhadla_Solar_Park,60.02,215.98,640.09,40.38,63.49,29.98,1,483.87,0.928,15,-0.7071,-0.7071,1,0.5,0.866,1,0.0172,0.9999,0.0,22.17
2023-01-01 16:00:00,22.4,23,997.9,0,6.0,290.0,503.6,110.0,180.0,27.5398,71.9153,Bhadla_Solar_Park,68.89,227.69,433.29,34.57,43.99,21.11,1,317.22,0.914,16,-0.866,-0.5,1,0.5,0.866,1,0.0172,0.9999,0.0,22.4
2023-01-01 17:00:00,21.5,30,998.0,0,4.2,115.0,281.6,64.0,51.0,27.5398,71.9153,Bhadla_Solar_Park,79.39,236.96,188.19,26.97,19.68,10.61,1,118.71,0.969,17,-0.9659,-0.2588,1,0.5,0.866,1,0.0172,0.9999,0.0,22.13
