timestamp,predicted_generation_mw,expected_demand_mw,balance_delta_mw,grid_status,ghi_w_m2,cloud_cover_pct,recommended_action
2026-09-11 00:00,0.0,45.0,-45.0,DEFICIT,0.0,35,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-11 01:00,0.0,45.0,-45.0,DEFICIT,0.0,68,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-11 02:00,0.0,45.0,-45.0,DEFICIT,0.0,55,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-11 03:00,0.0,45.0,-45.0,DEFICIT,0.0,57,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-11 04:00,0.0,45.0,-45.0,DEFICIT,0.0,42,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-11 05:00,0.0,45.0,-45.0,DEFICIT,0.0,11,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-11 06:00,0.0,45.0,-45.0,DEFICIT,0.0,1,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-11 07:00,5.97,62.7,-56.73,DEFICIT,60.0,0,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-56.7 MW)
2026-09-11 08:00,28.07,76.7,-48.63,DEFICIT,243.0,54,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-48.6 MW)
2026-09-11 09:00,49.18,84.1,-34.92,DEFICIT,456.0,40,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-34.9 MW)
2026-09-11 10:00,68.87,84.0,-15.13,DEFICIT,649.0,66,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-15.1 MW)
2026-09-11 11:00,78.5,76.8,1.7,BALANCED,792.0,41,Normal Grid Operation (Within ±10 MW tolerance)
2026-09-11 12:00,85.16,65.0,20.16,SURPLUS,876.0,50,Charge Battery Storage (+20.2 MW) / Export to Regional Grid
2026-09-11 13:00,85.2,64.3,20.9,SURPLUS,888.0,11,Charge Battery Storage (+20.9 MW) / Export to Regional Grid
2026-09-11 14:00,81.34,62.3,19.04,SURPLUS,829.0,30,Charge Battery Storage (+19.0 MW) / Export to Regional Grid
2026-09-11 15:00,72.36,59.1,13.26,SURPLUS,703.0,0,Charge Battery Storage (+13.3 MW) / Export to Regional Grid
2026-09-11 16:00,54.53,55.0,-0.47,BALANCED,523.0,0,Normal Grid Operation (Within ±10 MW tolerance)
2026-09-11 17:00,35.42,50.2,-14.78,DEFICIT,311.0,1,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-14.8 MW)
2026-09-11 18:00,13.0,45.0,-32.0,DEFICIT,107.0,2,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-32.0 MW)
2026-09-11 19:00,0.0,57.5,-57.5,DEFICIT,4.0,1,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-57.5 MW)
2026-09-11 20:00,0.0,66.7,-66.7,DEFICIT,0.0,16,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-66.7 MW)
2026-09-11 21:00,0.0,70.0,-70.0,DEFICIT,0.0,14,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-70.0 MW)
2026-09-11 22:00,0.0,66.7,-66.7,DEFICIT,0.0,47,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-66.7 MW)
2026-09-11 23:00,0.0,57.5,-57.5,DEFICIT,0.0,49,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-57.5 MW)
2026-09-12 00:00,0.0,45.0,-45.0,DEFICIT,0.0,90,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-12 01:00,0.0,45.0,-45.0,DEFICIT,0.0,38,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-12 02:00,0.0,45.0,-45.0,DEFICIT,0.0,50,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-12 03:00,0.0,45.0,-45.0,DEFICIT,0.0,76,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-12 04:00,0.0,45.0,-45.0,DEFICIT,0.0,100,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-12 05:00,0.0,45.0,-45.0,DEFICIT,0.0,100,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-12 06:00,0.0,45.0,-45.0,DEFICIT,0.0,99,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-45.0 MW)
2026-09-12 07:00,2.98,62.7,-59.72,DEFICIT,37.0,81,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-59.7 MW)
2026-09-12 08:00,21.46,76.7,-55.24,DEFICIT,215.0,73,Discharge Battery Storage / Activate Fast Peaker Gas/Hydro (-55.2 MW)
