timestamp,temperature_2m,relative_humidity_2m,surface_pressure,cloud_cover,wind_speed_10m,shortwave_radiation,direct_normal_irradiance,diffuse_radiation,direct_radiation,latitude,longitude,plant_id
2026-09-11 00:00:00,31.0,50,988.4,35,11.7,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 01:00:00,30.2,54,988.5,68,11.1,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 02:00:00,29.4,58,988.5,55,11.0,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 03:00:00,28.8,61,988.4,57,10.5,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 04:00:00,28.2,63,988.7,42,10.6,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 05:00:00,28.1,65,988.9,11,8.4,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 06:00:00,27.2,69,989.1,1,8.0,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 07:00:00,28.0,66,989.7,0,8.9,60.0,143.1,40.0,20.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 08:00:00,30.3,57,990.1,54,9.8,243.0,391.4,109.0,134.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 09:00:00,32.1,50,990.3,40,11.9,456.0,558.8,151.0,305.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 10:00:00,33.9,43,990.6,66,9.8,649.0,659.0,178.0,471.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 11:00:00,35.9,35,990.6,41,9.4,792.0,713.0,195.0,597.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 12:00:00,37.3,30,990.1,50,8.4,876.0,743.4,203.0,673.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 13:00:00,38.5,25,988.9,11,7.7,888.0,748.3,204.0,684.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 14:00:00,39.1,22,987.8,30,7.5,829.0,735.9,194.0,635.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 15:00:00,39.3,20,987.0,0,7.3,703.0,693.6,179.0,524.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 16:00:00,39.1,20,986.5,0,7.1,523.0,614.4,155.0,368.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 17:00:00,38.5,21,986.3,1,7.3,311.0,472.8,120.0,191.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 18:00:00,36.8,24,986.5,2,6.6,107.0,239.2,63.0,44.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 19:00:00,35.0,26,987.0,1,8.4,4.0,0.0,4.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 20:00:00,34.0,29,987.6,16,9.2,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 21:00:00,32.7,31,988.2,14,7.8,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 22:00:00,31.4,34,988.2,47,7.6,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-11 23:00:00,30.3,37,988.4,49,7.5,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 00:00:00,29.5,41,988.3,90,6.7,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 01:00:00,29.1,42,988.0,38,8.2,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 02:00:00,28.6,44,987.9,50,5.2,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 03:00:00,28.2,44,988.0,76,5.4,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 04:00:00,28.6,42,987.5,100,11.3,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 05:00:00,28.5,43,987.6,100,9.6,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 06:00:00,28.6,43,988.2,99,9.0,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 07:00:00,29.0,42,989.0,81,8.8,37.0,14.4,35.0,2.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 08:00:00,30.8,40,990.0,73,6.9,215.0,287.6,117.0,98.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 09:00:00,32.3,42,990.4,93,6.0,340.0,248.1,205.0,135.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 10:00:00,34.2,41,990.6,82,5.2,517.0,343.7,272.0,245.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 11:00:00,35.9,39,990.1,89,7.5,692.0,482.5,289.0,403.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 12:00:00,36.7,36,989.3,98,10.5,668.0,361.1,342.0,326.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 13:00:00,37.4,34,988.2,78,12.5,674.0,368.7,338.0,336.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 14:00:00,38.4,31,987.0,30,14.7,713.0,492.0,290.0,423.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 15:00:00,38.4,32,985.9,8,16.3,668.0,639.7,187.0,481.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 16:00:00,38.1,33,985.1,5,14.5,495.0,561.3,161.0,334.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 17:00:00,37.2,36,985.5,37,14.8,286.0,400.2,126.0,160.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 18:00:00,34.5,47,986.1,23,15.1,93.0,183.8,60.0,33.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 19:00:00,33.5,51,987.0,8,10.6,3.0,0.0,3.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 20:00:00,33.1,54,987.9,25,11.6,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 21:00:00,32.6,55,988.7,29,10.5,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 22:00:00,31.6,59,988.9,31,9.1,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-12 23:00:00,30.9,63,989.0,88,8.1,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 00:00:00,30.4,66,988.8,45,7.8,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 01:00:00,30.1,68,988.7,79,8.6,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 02:00:00,29.8,69,988.6,95,9.4,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 03:00:00,29.5,70,988.3,88,8.3,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 04:00:00,29.1,72,988.3,99,7.3,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 05:00:00,28.7,74,988.6,94,7.0,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 06:00:00,28.5,75,989.2,68,6.9,0.0,0.0,0.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 07:00:00,29.3,72,990.2,43,8.0,53.0,94.1,40.0,13.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 08:00:00,30.8,67,990.9,22,10.2,223.0,315.6,116.0,107.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 09:00:00,32.4,61,991.2,4,9.8,424.0,477.5,165.0,259.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 10:00:00,34.1,54,991.0,12,10.3,607.0,575.3,198.0,409.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 11:00:00,35.5,49,990.5,11,11.2,740.0,623.0,221.0,519.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 12:00:00,36.8,45,989.7,13,12.2,815.0,647.5,232.0,583.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 13:00:00,37.6,41,988.5,16,12.6,821.0,641.8,238.0,583.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 14:00:00,38.1,40,987.1,13,12.9,766.0,628.1,228.0,538.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 15:00:00,38.1,39,986.1,51,13.0,640.0,581.3,205.0,435.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 16:00:00,37.8,39,985.5,94,13.5,453.0,466.9,177.0,276.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 17:00:00,37.0,40,985.4,95,14.0,269.0,321.0,142.0,127.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 18:00:00,36.1,41,986.1,84,12.9,82.0,108.5,63.0,19.0,27.5398,71.9153,Bhadla_Solar_Park
2026-09-13 19:00:00,35.5,43,986.9,19,10.3,3.0,0.0,3.0,0.0,27.5398,71.9153,Bhadla_Solar_Park
